step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
228,0.29381,0.94737,,
229,0.11954,0.98246,,
230,0.05744,1.0,,
231,0.33605,0.91228,,
232,0.14782,0.97143,,
233,0.31719,0.91935,,
234,0.12111,0.97015,,
235,0.18361,0.93939,,
236,0.09454,0.9697,,
237,0.12156,0.95161,,
238,0.1704,0.93651,,
239,0.26916,0.92453,,
240,0.25074,0.96721,,
241,0.27377,0.90196,,
242,0.12046,0.95,,
243,0.15525,0.96875,,
244,0.02311,1.0,,
245,0.12749,0.95455,,
246,0.12986,0.98214,,
247,0.11915,0.95238,,
248,0.25855,0.94737,,
249,0.44747,0.9,,
250,0.07249,0.98438,,
251,0.0517,0.98413,,
252,0.14613,0.96552,,
253,0.1593,0.94286,,
254,0.21537,0.93939,,
255,0.12183,0.9375,,
256,0.02034,1.0,,
257,0.16225,0.96154,,
258,0.00316,1.0,,
259,0.15982,0.96078,,
260,0.45602,0.9,,
261,0.72883,0.84286,,
262,0.46555,0.92157,,
263,0.25412,0.94118,,
264,0.68753,0.86441,,
265,0.10593,0.98333,,
266,0.22432,0.93443,,
267,0.07305,0.98485,,
268,0.22491,0.9697,,
269,0.03603,0.98387,,
270,0.07251,0.98438,,
271,0.01525,1.0,,
272,0.16051,0.97727,,
273,0.10787,0.98361,,
274,0.0544,0.98438,,
275,0.26032,0.92,,
276,0.09486,0.96491,,
277,0.15431,0.93443,,
278,0.02079,1.0,,
279,0.18697,0.95455,,
280,0.16921,0.94737,,
281,0.07288,0.98246,,
282,0.06123,0.96154,,
283,0.07857,0.98214,,
284,0.11199,0.98039,,
285,0.0791,0.95238,,
286,0.07171,0.95455,,
287,0.12279,0.94444,,
288,0.03413,0.98387,,
289,0.04603,0.98413,,
290,0.37783,0.88889,,
291,0.01255,1.0,,
292,0.26722,0.88136,,
293,0.21269,0.92982,,
294,0.0071,1.0,,
295,0.08726,0.98276,,
296,0.24348,0.94444,,
297,0.09023,0.94737,,
298,0.21727,0.92537,,
299,0.14993,0.9697,,
300,0.08648,0.97015,,
301,0.25259,0.92857,,
302,0.10813,0.98485,,
303,0.18224,0.95833,,
304,0.42627,0.92647,,
305,0.09403,0.97222,,
306,0.12661,0.9375,,
307,0.06003,0.98246,,
308,0.04963,0.98485,,
309,0.17469,0.94286,,
310,0.05945,0.98182,,
311,0.02106,1.0,,
312,0.24947,0.94,,
313,0.21796,0.9322,,
314,0.39471,0.91667,,
315,0.13887,0.95312,,
316,0.10516,0.96296,,
317,0.15087,0.95714,,
318,0.13393,0.98438,,
319,0.11074,0.96226,,
320,0.10775,0.94118,,
321,0.52504,0.90909,,
322,0.06122,0.98246,,
323,0.36648,0.93182,,
324,0.04869,1.0,,
325,0.17993,0.95082,,
326,0.18538,0.92647,,
327,0.16997,0.92,,
328,0.25703,0.93548,,
329,0.16361,0.98113,,
330,0.06586,0.98507,,
331,0.04002,1.0,,
332,0.0235,1.0,,
333,0.12956,0.96491,,
334,0.02732,1.0,,
335,0.08088,0.95714,,
336,0.17248,0.95,,
337,0.12748,0.95714,,
338,0.38632,0.9322,,
339,0.07553,0.98333,,
340,0.03288,1.0,,
341,0.0832,0.96226,,
342,0.40737,0.94231,,
343,0.37403,0.94915,,
344,0.63276,0.88571,,
345,0.13232,0.96875,,
346,0.15227,0.95455,,
347,0.0179,1.0,,
348,0.12727,0.95588,,
349,0.07218,0.96721,,
350,0.09745,0.95082,,
351,0.02168,0.98571,,
352,0.11567,0.94915,,
353,0.21809,0.94737,,
354,0.44155,0.9,,
355,0.09709,0.96721,,
356,0.01717,1.0,,
357,0.10762,0.9697,,
358,0.07367,0.94915,,
359,0.02956,1.0,,
360,0.06211,0.96721,,
361,0.18058,0.9434,,
362,0.28884,0.91071,,
363,0.1439,0.94,,
364,0.0818,0.96078,,
365,0.11272,0.97727,,
366,0.10764,0.98113,,
367,0.04963,0.98485,,
368,0.12492,0.95,,
369,0.06411,0.97727,,
370,0.04266,0.98485,,
371,0.02034,1.0,,
372,0.00749,1.0,,
373,0.04345,0.98246,,
374,0.11085,0.96296,,
375,0.14134,0.98039,,
376,0.03472,1.0,,
377,0.06419,0.98507,,
378,0.19955,0.91803,,
379,0.19838,0.96552,,
380,0.06144,0.97959,,
381,0.00297,1.0,,
382,0.02018,0.98413,,
383,0.0374,1.0,,
384,0.03821,0.98387,,
385,0.00373,1.0,,
386,0.11075,0.94915,,
387,0.20927,0.95161,,
388,0.02095,1.0,,
389,0.01316,1.0,,
390,0.02997,0.98485,,
391,0.03379,1.0,,
392,0.00477,1.0,,
393,0.07715,0.98438,,
394,0.11776,0.94,,
395,0.10457,0.98333,,
396,0.00184,1.0,,
397,0.00275,1.0,,
398,0.0013,1.0,,
399,0.33172,0.91667,,
400,0.3659,0.94118,,
401,0.09834,0.98246,,
402,0.14179,0.9434,,
403,0.14665,0.95312,,
404,0.00401,1.0,,
405,0.05528,0.98214,,
406,0.06143,0.96875,,
407,0.04095,0.98333,,
408,0.46457,0.91667,,
409,0.02598,0.97959,,
410,0.01412,1.0,,
411,0.11824,0.95082,,
412,0.18378,0.92188,,
413,0.01381,1.0,,
414,0.02609,1.0,,
415,0.0011,1.0,,
416,0.00924,1.0,,
417,0.21427,0.9322,,
418,0.05885,0.96552,,
419,0.24704,0.94118,,
420,0.03428,0.98507,,
