step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
230,0.26614,0.92857,,
231,0.17173,0.95238,,
232,0.08631,0.98276,,
233,0.17113,0.96296,,
234,0.08767,0.98305,,
235,0.103,0.97015,,
236,0.49042,0.86207,,
237,0.16489,0.95238,,
238,0.05312,0.96552,,
239,0.29086,0.90385,,
240,0.28917,0.90566,,
241,1.64834,0.5,,
242,0.38811,0.91304,,
243,2.257,0.5,,
244,0.06454,0.98361,,
245,0.34121,0.94118,,
246,0.24875,0.90741,,
247,0.30742,0.92754,,
248,0.21916,0.94118,,
249,0.18265,0.90741,,
250,0.34868,0.89062,,
251,0.27861,0.93846,,
252,0.06424,0.98305,,
253,0.33361,0.88372,,
254,2.0146,0.5,,
255,0.07258,1.0,,
256,0.20036,0.94444,,
257,0.34,0.91045,,
258,0.23473,0.90698,,
259,0.4915,0.86207,,
260,0.08484,0.98361,,
261,0.24953,0.92593,,
262,0.14526,0.94444,,
263,0.12219,0.9661,,
264,0.02697,1.0,,
265,0.14415,0.96296,,
266,0.28859,1.0,,
267,0.37655,1.0,,
268,0.1602,0.93023,,
269,0.09443,0.95238,,
270,0.15156,0.94444,,
271,0.19038,1.0,,
272,0.24213,0.96721,,
273,0.02404,1.0,,
274,0.12076,0.96296,,
275,0.18721,0.92405,,
276,0.09088,0.98276,,
277,0.14238,0.94937,,
278,0.32048,0.92308,,
279,0.19629,0.93651,,
280,0.46469,0.90741,,
281,0.39265,0.90385,,
282,0.22652,0.94444,,
283,0.08578,1.0,,
284,0.47747,0.91489,,
285,0.11584,0.97674,,
286,0.07911,0.96552,,
287,0.46345,0.87692,,
288,0.05982,1.0,,
289,0.05345,1.0,,
290,0.30295,0.91489,,
291,0.2648,0.92857,,
292,0.12733,0.96296,,
293,0.06282,0.98077,,
294,0.17915,0.90741,,
295,0.24965,0.90769,,
296,0.21176,0.94444,,
297,0.16848,0.98077,,
298,0.24152,0.92157,,
299,0.19683,0.94203,,
300,0.14443,0.94643,,
301,0.06502,0.98148,,
302,0.27776,0.92453,,
303,0.12583,0.94444,,
304,0.14059,0.96078,,
305,1.19486,0.5,,
306,1.34597,0.5,,
307,0.11383,0.97468,,
308,1.67135,0.5,,
309,0.26219,0.92308,,
310,0.21637,1.0,,
311,0.32231,0.93103,,
312,0.15523,0.95238,,
313,0.09093,0.96429,,
314,0.16109,1.0,,
315,0.30934,0.89706,,
316,0.09866,1.0,,
317,0.0758,1.0,,
318,0.35118,0.93103,,
319,0.18154,0.94444,,
320,0.05658,0.97674,,
