step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
229,0.02186,1.0,,
230,0.04399,0.98387,,
231,0.03961,1.0,,
232,0.15117,0.96491,,
233,0.05992,0.97959,,
234,0.02899,1.0,,
235,0.22303,0.9661,,
236,0.07542,0.98246,,
237,0.23849,0.94545,,
238,0.05516,0.98182,,
239,0.08461,0.98305,,
240,0.02638,1.0,,
241,0.04221,0.98611,,
242,0.16538,0.97959,,
243,0.06716,0.98507,,
244,0.00386,1.0,,
245,0.05662,0.98305,,
246,0.13411,0.98182,,
247,0.04283,0.97917,,
248,0.04579,0.98611,,
249,0.03427,1.0,,
250,0.20644,0.94118,,
251,0.04715,0.98611,,
252,0.17514,0.93846,,
253,0.13975,0.98413,,
254,0.01285,1.0,,
255,0.14906,0.97917,,
256,0.12838,0.98413,,
257,0.03823,0.98507,,
258,0.01305,1.0,,
259,0.27846,0.9661,,
260,0.14183,0.96491,,
261,0.07231,0.98387,,
262,0.0246,0.98246,,
263,0.02229,1.0,,
264,0.10541,0.96491,,
265,0.01316,1.0,,
266,0.01035,1.0,,
267,0.00851,1.0,,
268,0.11129,0.97959,,
269,0.05972,0.98182,,
270,0.06004,0.98182,,
271,0.0536,0.98246,,
272,0.06813,0.98246,,
273,0.05122,1.0,,
274,0.12926,0.96364,,
275,0.19733,0.95238,,
276,0.0491,1.0,,
277,0.03833,0.98413,,
278,0.06539,0.97917,,
279,0.06105,0.98246,,
280,0.12724,0.96491,,
281,0.03171,0.97959,,
282,0.05074,0.98611,,
283,0.07825,0.97959,,
284,0.09423,0.98182,,
285,0.01838,1.0,,
286,0.06731,0.97959,,
287,0.0397,0.98246,,
288,0.07838,0.98462,,
289,0.06428,0.97959,,
290,0.05379,0.97959,,
291,0.16714,0.98462,,
292,0.08048,0.98462,,
293,0.02284,0.98413,,
294,0.04274,1.0,,
295,0.17494,0.96825,,
296,0.05337,0.98507,,
297,0.01089,1.0,,
298,0.04948,0.98387,,
299,0.08661,0.97959,,
300,0.01472,1.0,,
301,0.04682,0.98387,,
302,0.03563,0.98507,,
303,0.0627,0.98387,,
304,0.15594,0.98246,,
305,0.03852,0.98387,,
306,0.02289,0.98413,,
307,0.05593,0.97959,,
308,0.04924,0.97959,,
309,0.02509,1.0,,
310,0.06529,0.98182,,
311,0.01378,0.98413,,
312,0.00661,1.0,,
313,0.02256,0.98387,,
314,0.00936,1.0,,
315,0.07053,0.97692,,
316,0.0184,0.98246,,
317,0.03679,0.97917,,
318,0.05696,0.98611,,
319,0.01317,1.0,,
320,0.01413,1.0,,
321,0.01176,1.0,,
322,0.07584,0.98182,,
323,0.06148,0.98611,,
324,0.01416,1.0,,
325,0.01044,1.0,,
326,0.05692,0.97959,,
327,0.03978,0.98611,,
328,0.01834,0.98246,,
329,0.04609,0.98611,,
330,0.0079,1.0,,
331,0.02737,1.0,,
332,0.2665,0.94118,,
333,0.00354,1.0,,
334,0.0244,0.98611,,
335,0.04045,0.98182,,
336,0.01011,1.0,,
337,0.03397,0.98413,,
338,0.00713,1.0,,
339,0.01434,0.98413,,
340,0.1926,0.9661,,
341,0.21783,0.94118,,
342,0.01719,0.98182,,
343,0.07286,0.98387,,
344,0.18053,0.97959,,
345,0.01365,1.0,,
346,0.01369,1.0,,
347,0.00251,1.0,,
348,0.01324,0.98246,,
349,0.00965,1.0,,
350,0.10028,0.98387,,
351,0.03917,0.98611,,
352,0.01503,1.0,,
353,0.02582,0.98413,,
354,0.0466,0.98507,,
355,0.05299,0.98507,,
356,0.00784,1.0,,
357,0.01277,0.98413,,
358,0.0456,0.98246,,
359,0.00197,1.0,,
360,0.01685,0.98246,,
361,0.02034,0.98246,,
362,0.03047,0.98246,,
363,0.02117,1.0,,
364,0.00396,1.0,,
365,0.01447,0.98246,,
366,0.04266,0.98387,,
367,0.05093,0.98462,,
368,0.00131,1.0,,
369,0.01796,0.98246,,
370,0.01225,1.0,,
371,0.00704,1.0,,
372,0.02046,0.98413,,
373,0.00768,1.0,,
374,0.00313,1.0,,
375,0.10337,0.97959,,
376,0.05753,0.98387,,
377,0.10537,0.97959,,
378,0.01314,1.0,,
379,0.00641,1.0,,
380,0.10176,0.98182,,
381,0.00085,1.0,,
382,0.00518,1.0,,
383,0.03198,0.98611,,
384,0.03973,0.98387,,
385,0.01431,1.0,,
386,0.01155,1.0,,
387,0.02674,0.98611,,
388,0.00113,1.0,,
389,0.13071,0.97959,,
390,0.06511,0.98182,,
391,0.04672,0.98387,,
392,0.03516,0.97959,,
393,0.07279,0.98507,,
394,0.00226,1.0,,
395,0.0004,1.0,,
396,0.00338,1.0,,
397,0.00206,1.0,,
398,0.0014,1.0,,
399,0.03832,0.98507,,
400,0.00056,1.0,,
401,0.00055,1.0,,
402,0.03232,0.98507,,
403,0.01656,1.0,,
404,0.038,0.98413,,
405,0.01648,0.98246,,
406,0.00074,1.0,,
407,0.00015,1.0,,
408,0.00698,1.0,,
409,0.00034,1.0,,
410,0.01177,1.0,,
411,0.00117,1.0,,
412,0.0012,1.0,,
413,0.01275,1.0,,
414,0.00515,1.0,,
415,0.41152,0.94118,,
416,0.01695,0.98611,,
417,0.04479,0.98387,,
418,0.00049,1.0,,
419,0.01786,0.98246,,
420,0.04521,0.98387,,
421,0.12343,0.98387,,
422,0.03749,0.98611,,
423,0.00845,1.0,,
424,0.1348,0.97959,,
425,0.13835,0.97959,,
426,0.01848,0.98413,,
427,0.00028,1.0,,
428,0.00055,1.0,,
429,0.11835,0.98387,,
430,0.00832,1.0,,
431,0.00715,1.0,,
432,0.00026,1.0,,
